id,dob,name,nationality,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
1634,1981-07-28,Michael Carrick,England,188cm,74kg,254,164,0.05,111,0,38.63,456,40,39,1,6,10,197,5,540,681,1,469,14,88,121,1,"1,481","1,079",715,104,70%,93,77,"1,587",29%,90,0,0,0,229,24%,,,,,,,,,,,,,
2341,1987-11-29,Nathan Dyer,England,165cm,60kg,51,100,0.12,52,2,26.72,144,11,8,3,2,13,257,4,101,177,15,38,16,35,9,0,47,594,785,23,78%,105,172,574,18%,17,0,0,12,152,38%,,,,,,,,,,,,,
3360,1984-02-22,Branislav Ivanovic,Serbia,185cm,91kg,145,292,22,50,2,38.75,254,20,55,7,2,13,519,8,392,527,18,"1,135",20,40,531,2,655,"1,422",910,583,81%,322,106,"1,154",20%,12,,,,,,0,86,236,6,5,,,,,,,,
4084,1986-06-26,Jason Puncheon,England,173cm,70kg,48,154,0.16,64,1,31.03,154,15,16,0,19,5,660,8,140,275,20,93,17,89,23,3,243,634,878,50,77%,82,219,907,28%,43,1,3,13,292,34%,,,,,,,,,,,,,
4572,1987-02-01,Loïc Remy,France,185cm,80kg,34,46,0.38,24,1,16.77,74,3,3,4,4,20,71,5,10,20,64,21,7,47,13,,,,,,,,,,,,1,0,11,178,39%,,,,,,,,,,,,,
4430,1992-05-28,Tom Carroll,England,177cm,71kg,24,15,0.02,11,0,23.78,40,1,4,0,1,0,18,0,27,38,0,21,1,4,6,0,42,53,78,4,66%,21,7,75,17%,3,0,0,0,10,30%,,,,,,,,,,,,,
4673,1987-07-18,Claudio Yacob,Argentina,181cm,77kg,37,199,0.01,42,1,34.07,118,1,31,1,0,0,13,1,265,414,1,255,2,10,112,1,220,687,597,147,76%,140,24,625,31%,1,0,0,1,47,19%,,,,,,,,,,,,,
13871,1992-03-27,Pedro Obiang,Spain,185cm,75kg,13,23,26,3,0,19.96,26,1,4,0,0,0,4,0,39,46,0,24,1,3,12,0,30,103,86,32,76%,22,14,88,25%,2,0,0,0,8,13%,,,,,,,,,,,,,
5344,1987-07-25,Fernando,Brazil,183cm,76kg,29,57,0.08,11,0,40.79,53,2,10,1,0,3,3,1,88,99,1,89,3,8,49,1,102,219,237,78,82%,71,24,247,100%,1,0,0,6,25,28%,,,,,,,,,,,,,
8454,1992-02-27,Callum Wilson,England,180cm,66kg,5,28,0.35,11,0,10.25,20,0,0,1,0,6,7,2,3,9,9,1,2,10,1,,,,,,,,,,,,1,0,2,29,41%,,,,,,,,,,,,,
8598,1994-03-01,James Husband,England,180cm,65kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
6047,1987-01-23,Joe Ledley,Wales,183cm,73kg,28,35,0.09,26,0,28.1,70,1,2,2,3,1,50,0,142,126,4,127,2,5,53,2,82,266,242,69,72%,102,22,332,18%,0,0,0,2,32,31%,,,,,,,,,,,,,
16719,1991-06-25,Simone Zaza,Italy,186cm,83kg,0,3,4,3,0,13.25,4,0,2,0,0,0,1,0,3,2,2,1,0,1,0,,,,,,,,,,,,0,0,0,6,6%,,,,,,,,,,,,,
12136,1992-09-27,Granit Xhaka,Switzerland,185cm,82kg,4,8,0.17,1,0,56.5,6,0,1,0,1,0,2,0,7,13,0,8,0,1,3,1,20,24,22,6,69%,4,2,31,2%,4,0,0,0,5,20%,,,,,,,,,,,,,
3206,1987-01-22,Shane Long,Ireland,178cm,70kg,75,279,0.2,95,0,15.08,213,18,18,12,10,20,234,13,97,161,138,108,16,32,50,,,,,,,,,,,,1,0,42,279,41%,,,,,,,,,,,,,
2299,1984-01-13,Glenn Whelan,Ireland,180cm,79kg,87,256,0.02,97,1,40.05,254,11,41,0,0,4,393,5,435,487,2,481,8,61,184,0,843,913,900,207,69%,141,56,"1,395",31%,28,0,0,1,174,14%,,,,,,,,,,,,,
4438,1987-03-24,Billy Jones,England,183cm,77kg,29,109,2,46,0,27.16,104,4,32,0,1,1,203,4,119,242,13,311,8,17,164,1,107,551,391,172,74%,133,67,348,17%,1,,,,,,1,20,157,0,1,,,,,,,,
19600,1993-06-22,Loris Karius,Germany,189cm,75kg,2,0,0,0,0,23.5,2,0,0,,,,,,,,,,,,,0,11,,,,,,,,,,,,,,,0,0,2,,,2,0,10,0,5,1,0,1
5175,1994-10-27,Kurt Zouma,France,190cm,92kg,17,15,1,8,0,26.21,38,1,0,1,0,0,5,1,43,47,2,168,1,3,81,0,50,153,70,91,70%,40,8,100,20%,0,,,,,,0,12,28,0,0,,,,,,,,
4616,1990-02-12,Gastón Ramírez,Uruguay,183cm,77kg,22,72,0.09,32,2,22.14,77,10,8,1,5,1,188,4,59,109,9,35,10,27,15,0,72,305,422,31,77%,74,81,250,24%,52,0,0,5,101,28%,,,,,,,,,,,,,
15052,1997-02-11,Julien Ngoy,Belgium,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
3837,1990-08-18,Kevin Long,Ireland,188cm,83kg,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,1,0%,0,0,0,0%,0,,,,,,0,0,1,0,0,,,,,,,,
1629,1981-01-30,Peter Crouch,England,201cm,75kg,152,360,0.24,137,1,19.35,407,54,29,34,6,30,56,20,105,126,139,385,29,85,179,,,,,,,,,,,,0,0,39,579,40%,,,,,,,,,,,,,
3712,1990-06-17,Jordan Henderson,England,182cm,67kg,107,197,0.1,71,1,45.72,234,34,26,0,5,19,624,5,317,450,28,261,34,77,103,1,680,779,880,142,71%,177,100,"1,156",25%,103,1,2,14,282,29%,,,,,,,,,,,,,
4539,1992-10-11,Wilfried Zaha,England,180cm,66kg,25,101,0.08,38,0,14.35,85,5,10,0,1,6,270,2,59,125,20,19,11,31,5,0,37,587,665,27,82%,56,275,417,21%,7,0,0,9,91,34%,,,,,,,,,,,,,
19679,1996-12-23,Bartosz Kapustka,Poland,179cm,60kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
3285,1985-04-08,Antonio Valencia,Ecuador,181cm,83kg,144,354,20,70,3,37.53,267,42,39,2,1,17,"1,278",5,345,640,55,232,34,76,78,1,335,"1,419","1,527",184,78%,333,361,"1,310",26%,53,,,,,,0,79,213,1,2,,,,,,,,
14753,1997-12-09,Ovie Ejaria,England,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
4198,1990-06-05,Craig Dawson,England,188cm,78kg,26,69,6,41,0,29.2,95,2,13,5,1,0,188,3,199,152,5,469,5,18,260,0,201,521,342,289,74%,166,16,367,22%,3,,,,,,1,25,122,1,3,,,,,,,,
4726,1985-05-03,David Marshall,Scotland,191cm,83kg,7,0,0,24,0,20.54,39,0,2,,,,,,,,,,,,,3,201,,,,,,,,,,,,,,,0,7,80,,,165,9,413,0,171,64,20,22
13340,1998-11-27,Luke Dreher,England,184cm,76kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
4803,1985-11-21,Jesús Navas,Spain,170cm,60kg,62,46,0.04,21,0,36,103,22,4,0,0,4,606,3,61,103,14,34,24,38,14,0,122,318,356,32,76%,96,114,410,24%,20,0,0,11,113,30%,,,,,,,,,,,,,
13872,1993-02-15,Manuel Lanzini,Argentina,167cm,59kg,13,13,0.23,9,0,41.97,31,2,3,0,2,5,51,1,28,36,6,5,3,18,1,0,32,140,116,4,72%,12,66,173,25%,2,1,0,4,58,21%,,,,,,,,,,,,,
4129,1993-01-01,Jon Flanagan,England,181cm,79kg,25,52,1,8,0,40.75,40,2,9,0,0,1,41,1,70,110,1,121,2,2,66,1,47,209,227,46,74%,47,23,205,17%,2,,,,,,0,8,47,0,0,,,,,,,,
15168,2000-11-03,Kane Wilson,England,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
3811,1994-06-03,Nathan Redmond,England,173cm,69kg,15,51,0.11,42,0,25.04,76,6,3,0,1,7,283,5,50,88,16,20,13,36,6,0,73,300,372,12,75%,48,129,247,23%,7,0,0,5,140,35%,,,,,,,,,,,,,
4246,1984-09-29,Per Mertesacker,Germany,198cm,90kg,85,48,5,30,2,50.48,149,1,11,5,0,0,4,2,254,146,3,805,1,14,413,3,303,602,275,380,74%,166,16,722,25%,1,,,,,,0,57,150,14,1,,,,,,,,
10443,1997-09-14,Dominic Solanke,England,185cm,75kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
11364,1988-06-18,Islam Slimani,Algeria,186cm,75kg,1,3,0.67,0,0,22.33,3,0,0,2,0,0,1,1,0,1,1,0,0,1,0,,,,,,,,,,,,0,0,1,5,60%,,,,,,,,,,,,,
13494,1986-04-16,Shinji Okazaki,Japan,174cm,76kg,23,35,0.12,5,0,15.37,41,0,1,1,1,3,9,2,16,40,10,6,2,13,3,,,,,,,,,,,,0,0,8,53,28%,,,,,,,,,,,,,
13558,1994-02-12,Donald Love,Scotland,178cm,72kg,0,5,0,3,0,20.75,4,0,1,0,0,0,5,0,7,13,0,9,0,0,2,0,5,25,18,5,77%,4,4,19,20%,0,,,,,,0,0,6,0,0,,,,,,,,
10423,1990-11-26,Gabriel,Brazil,185cm,72kg,16,12,1,4,1,45.89,27,1,4,1,0,0,0,1,80,46,0,155,0,2,62,1,41,128,66,68,67%,36,3,165,0%,2,,,,,,0,11,20,4,0,,,,,,,,
15068,1996-10-25,Ethan Robson,England,178cm,73kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
4525,1992-12-06,Philippe Coutinho,Brazil,171cm,71kg,62,65,0.21,25,1,43.42,114,24,7,0,4,20,266,9,67,199,23,41,39,133,8,0,204,606,719,24,80%,109,252,558,23%,124,0,1,13,373,30%,,,,,,,,,,,,,
13635,1997-09-26,Chris Renshaw,England,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
3765,1985-04-19,Valon Behrami,Switzerland,185cm,78kg,26,130,0.05,37,1,27.83,86,2,11,0,1,3,53,1,153,348,0,88,3,8,22,1,55,629,479,40,73%,66,51,432,25%,21,0,0,0,45,29%,,,,,,,,,,,,,
5371,1986-07-04,Christian Fuchs,Austria,186cm,86kg,23,38,0,4,0,37.87,39,5,5,0,0,0,143,0,111,113,0,141,9,8,63,0,113,203,161,68,81%,41,10,258,27%,4,,,,,,0,18,31,0,1,,,,,,,,
2945,1987-09-13,Fraizer Campbell,England,172cm,82kg,31,139,0.12,70,0,11.91,138,7,19,3,4,9,82,3,79,109,59,50,3,34,13,,,,,,,,,,,,0,0,17,154,34%,,,,,,,,,,,,,
3062,1985-09-07,Ashley Young,England,180cm,65kg,131,308,0.15,73,1,26.72,286,62,48,0,1,43,"2,271",15,296,395,95,201,40,141,45,0,425,"1,289","1,431",89,75%,119,254,"1,039",22%,102,5,5,22,499,33%,,,,,,,,,,,,,
2569,1987-01-24,Wayne Hennessey,Wales,198cm,90kg,26,1,0,53,0,26.97,106,1,2,,,,,,,,,,,,,11,944,,,,,,,,,,,,,,,1,18,182,,,388,43,964,2,433,194,88,78
4717,1996-03-05,Alex Iwobi,Nigeria,180cm,75kg,10,4,0.11,3,0,30.5,18,5,1,0,0,2,11,1,4,13,2,1,4,7,1,0,11,45,54,3,77%,8,20,63,11%,5,0,0,0,23,35%,,,,,,,,,,,,,
4716,1997-01-26,Gedion Zelalem,United States,180cm,70kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
8049,1987-02-04,Marc Pugh,England,180cm,72kg,9,10,0.12,14,0,19.27,26,2,1,0,0,3,45,1,16,32,1,13,1,5,6,0,18,106,129,14,75%,31,32,69,16%,1,0,0,2,22,50%,,,,,,,,,,,,,
4973,1988-12-19,Alexis Sánchez,Chile,168cm,62kg,40,86,0.46,13,0,44.29,72,14,5,4,3,26,216,7,67,122,26,12,27,85,7,,,,,,,,,,,,0,3,20,249,39%,,,,,,,,,,,,,
2148,1984-08-23,Glen Johnson,England,178cm,70kg,160,234,15,90,1,34.04,329,26,44,1,7,4,736,5,475,693,18,934,18,76,275,2,597,"1,730","1,442",305,78%,203,466,"1,434",18%,49,,,,,,2,94,295,0,4,,,,,,,,
6519,1992-10-04,Sadio Mané,Senegal,175cm,69kg,34,89,0.33,24,2,27.93,73,10,10,1,8,15,123,2,52,106,56,23,15,43,11,0,51,478,473,58,76%,99,159,336,21%,13,0,0,21,162,40%,,,,,,,,,,,,,
10426,1998-04-01,Krystian Bielik,Poland,188cm,78kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
10004,1988-04-26,Bakary Sako,Mali,180cm,76kg,6,13,0.1,10,0,16.8,20,1,1,0,1,1,77,1,14,18,8,7,5,11,2,0,15,58,93,8,83%,18,20,68,17%,0,0,0,3,34,44%,,,,,,,,,,,,,
2413,1985-07-26,Gaël Clichy,France,176cm,65kg,185,211,2,45,1,45.62,303,18,32,0,1,1,778,2,807,892,17,"1,160",15,16,331,4,635,"1,604","1,076",263,78%,299,256,"1,537",20%,32,,,,,,1,98,247,6,6,,,,,,,,
6393,1985-11-22,Dieumerci Mbokani,Congo,185cm,80kg,8,18,0.23,20,0,16.35,31,1,0,1,1,5,9,1,3,11,30,25,1,5,13,,,,,,,,,,,,0,0,6,37,54%,,,,,,,,,,,,,
2932,1983-03-04,Ben Foster,England,193cm,79kg,63,9,0,90,0,23.05,220,0,7,,,,,,,,,,,,,13,"1,504",,,,,,,,,,,,,,,0,58,299,,,738,77,"2,060",6,907,354,113,193
2686,1985-09-07,Ben Watson,England,178cm,68kg,33,121,0.09,65,1,36.05,134,2,13,0,2,10,378,6,246,209,1,174,10,21,32,0,461,369,409,82,77%,60,27,544,29%,17,4,1,4,99,35%,,,,,,,,,,,,,
5594,1989-12-17,André Ayew,Ghana,176cm,72kg,11,35,0.34,15,0,30.37,35,2,5,4,7,1,23,2,23,56,9,13,3,13,9,,,,,,,,,,,,0,1,7,67,40%,,,,,,,,,,,,,
3222,1982-08-17,Phil Jagielka,England,183cm,83kg,123,137,14,93,0,41.13,308,7,17,8,0,6,125,7,538,627,3,"2,621",7,35,888,6,"1,595","1,570",773,624,76%,394,33,"1,399",30%,11,,,,,,6,95,331,22,6,,,,,,,,
4507,1987-05-10,Kevin Mirallas,Belgium,179cm,68kg,46,96,0.22,33,2,19.32,118,15,12,2,4,20,438,7,45,95,57,23,19,88,8,0,104,346,537,17,76%,73,132,299,27%,10,0,3,15,257,36%,,,,,,,,,,,,,
4081,1985-10-12,Charlie Adam,Scotland,185cm,83kg,56,287,0.18,70,3,35.89,174,22,41,2,27,3,799,4,180,285,2,197,36,106,76,2,689,865,910,183,79%,132,144,890,22%,54,10,2,5,364,28%,,,,,,,,,,,,,
15079,1999-04-27,Joel Asoro,Sweden,175cm,75kg,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0%,1,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
9113,1978-11-29,Dimitrios Konstantopoulos,Greece,193cm,90kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
4328,1988-02-06,Sergio Agüero,Argentina,173cm,70kg,100,104,0.69,29,0,24.1,155,26,13,8,20,79,125,17,54,99,128,5,35,127,1,,,,,,,,,,,,17,0,78,595,43%,,,,,,,,,,,,,
3311,1983-02-14,Bacary Sagna,France,176cm,72kg,142,158,4,47,1,51.56,254,19,28,3,0,1,989,0,423,502,1,"1,186",19,23,457,3,401,"1,444",886,594,73%,338,89,"1,133",19%,17,,,,,,0,90,247,6,1,,,,,,,,
4796,1990-02-13,Mamadou Sakho,France,187cm,83kg,27,27,2,16,0,54.89,56,0,2,1,1,0,5,2,91,87,1,368,0,3,240,1,151,302,186,168,76%,116,27,386,20%,1,,,,,,0,13,76,3,2,,,,,,,,
4951,1982-01-14,Víctor Valdés,Spain,183cm,78kg,0,0,0,3,0,30.43,7,0,0,,,,,,,,,,,,,0,67,,,,,,,,,,,,,,,0,1,10,,,16,3,66,0,18,4,5,2
14194,1996-02-02,Greg Olley,England,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
12306,1994-12-21,Daniel Amartey,Ghana,182cm,76kg,6,8,11,2,0,25.09,11,0,1,0,0,0,0,0,9,10,0,5,0,1,0,0,22,25,41,11,80%,14,1,53,0%,0,0,0,1,5,40%,,,,,,,,,,,,,
13191,1997-08-05,Jordan Holmes,Australia,188cm,75kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
13389,1998-06-30,Tom Davies,England,179cm,78kg,3,2,4,0,0,16.75,4,0,0,0,0,0,1,0,5,3,0,2,0,1,1,0,2,8,5,0,67%,1,2,5,1%,0,0,0,0,1,1%,,,,,,,,,,,,,
4477,1984-12-13,Santiago Cazorla,Spain,168cm,66kg,77,67,0.2,24,1,66.46,128,35,12,1,10,14,594,5,172,212,8,68,43,111,26,2,433,652,640,19,76%,60,265,859,24%,128,8,0,8,313,36%,,,,,,,,,,,,,
5772,1981-03-10,Zlatan Ibrahimovic,Sweden,195cm,95kg,3,12,0.57,2,0,32.86,7,0,2,1,0,3,4,0,3,8,8,4,3,10,3,,,,,,,,,,,,1,0,5,36,33%,,,,,,,,,,,,,
3390,1990-01-02,Dan Gosling,England,178cm,71kg,36,55,0.09,34,1,21.41,86,1,10,1,2,5,63,2,89,126,3,46,2,19,15,1,62,294,325,53,70%,63,50,249,30%,13,0,0,7,78,31%,,,,,,,,,,,,,
19617,1992-06-23,Nampalys Mendy,France,168cm,68kg,0,3,1,0,0,13,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,4,6,1,0%,1,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
13192,1999-04-03,Corey Jordan,England,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
3127,1983-01-17,Álvaro Arbeloa,Spain,184cm,79kg,38,87,2,8,0,38.43,68,3,15,0,1,1,128,0,130,213,4,298,0,3,79,1,96,379,264,57,78%,39,26,317,23%,4,,,,,,0,30,52,1,1,,,,,,,,
2886,1989-05-08,Ryan Bertrand,England,,,51,107,3,41,1,35.32,114,7,15,0,2,1,371,0,185,160,6,219,16,13,104,0,172,458,396,135,74%,117,58,427,20%,4,,,,,,0,31,124,1,4,,,,,,,,
19599,1989-04-14,Luis Hernández,Spain,182cm,74kg,0,1,0,2,0,31.5,2,0,0,0,0,0,3,0,4,2,0,4,0,0,3,0,1,6,7,3,100%,4,0,11,67%,0,,,,,,0,0,4,0,0,,,,,,,,
4141,1985-10-11,Aleksandar Kolarov,Serbia,187cm,83kg,90,111,10,30,1,36.99,143,19,21,0,9,1,680,7,186,227,16,337,24,68,172,1,250,639,492,178,75%,123,84,634,26%,8,,,,,,1,39,112,2,0,,,,,,,,
4492,1990-03-12,Christian Benteke,Belgium,190cm,83kg,40,198,0.44,56,2,29.52,123,11,15,19,7,28,27,5,13,46,142,87,20,79,50,,,,,,,,,,,,7,1,41,327,38%,,,,,,,,,,,,,
4482,1995-09-10,Chuba Akpom,England,183cm,70kg,2,1,4,2,0,1.25,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,0,0,1,2,100%,,,,,,,,,,,,,
4821,1988-07-08,Erik Pieters,Netherlands,184cm,84kg,36,167,1,41,0,37.23,108,5,24,0,1,0,260,0,219,322,2,375,8,6,190,2,179,676,509,194,76%,133,36,481,15%,1,,,,,,0,24,133,2,1,,,,,,,,
5272,1995-05-08,Pierre-Emile Højbjerg,Denmark,185cm,84kg,2,6,7,2,0,56.14,7,0,1,0,0,0,10,0,10,18,0,8,0,5,4,0,16,38,28,5,72%,3,3,45,60%,1,0,0,0,10,20%,,,,,,,,,,,,,
8976,1988-10-29,Andy King,Wales,183cm,75kg,24,16,0.08,16,0,21.96,53,1,3,0,0,4,24,0,63,74,2,52,3,11,33,0,56,172,121,56,81%,46,18,180,17%,1,0,0,4,35,26%,,,,,,,,,,,,,
10951,1987-05-31,Rene Gilmartin,Ireland,196cm,85kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
3251,1986-03-10,Adrian Mariappa,Jamaica,180cm,78kg,20,62,2,47,0,24.53,87,1,16,2,0,0,94,1,152,177,5,470,1,4,173,0,127,437,304,184,73%,129,24,225,23%,2,,,,,,0,17,138,3,6,,,,,,,,
11213,1991-07-01,Roberto Pereyra,Argentina,182cm,77kg,2,4,0.2,2,0,32.6,5,2,2,0,1,0,9,0,3,2,1,1,3,0,0,0,5,9,21,0,100%,3,3,29,44%,0,0,0,1,2,100%,,,,,,,,,,,,,
8868,1996-12-20,Jarrod Bowen,England,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
3724,1991-07-16,Andros Townsend,England,181cm,77kg,36,32,0.12,29,0,21.28,82,5,8,0,8,2,332,2,57,137,2,21,10,57,3,1,27,412,417,2,82%,24,186,292,20%,5,1,1,3,162,35%,,,,,,,,,,,,,
4777,1994-03-13,Gerard Deulofeu,Spain,171cm,68kg,22,11,0.09,16,0,15.68,56,11,3,0,2,3,230,0,24,27,9,5,11,8,0,,,,,,,,,,,,0,0,4,45,64%,,,,,,,,,,,,,
